trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
645,False,"{'a': 0.05, 'e': 0.38763909845094535}",20,0,-4.566933650177155,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
646,False,"{'a': 0.05, 'e': 0.38596243824478765}",20,8,0.2207979824714994,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
647,False,"{'a': 0.05, 'e': 0.3842845021300949}",20,0,-53.377833681901684,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
648,False,"{'a': 0.05, 'e': 0.3826052956537614}",20,16,8.123650939271688,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.05, 'e': 0.38092482436688185}",25,0,-24.85725640409319,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
650,False,"{'a': 0.05, 'e': 0.3792430938247312}",20,6,-41.62219437067497,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
651,False,"{'a': 0.05, 'e': 0.3775601095867482}",25,0,-19.79243006070753,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
652,False,"{'a': 0.05, 'e': 0.37587587721651516}",30,8,-69.38460041169748,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
653,False,"{'a': 0.05, 'e': 0.3741904022817413}",30,0,-53.75729341590229,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
654,False,"{'a': 0.05, 'e': 0.3725036903542426}",35,20,0.7995169193295957,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
655,False,"{'a': 0.05, 'e': 0.3708157470099251}",20,0,-90.86789181890984,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
656,False,"{'a': 0.05, 'e': 0.3691265778287651}",20,14,1.7741692724728042,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.05, 'e': 0.36743618839479125}",20,11,17.23090683568203,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.05, 'e': 0.36574458429606665}",25,0,-30.156948995130012,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
659,False,"{'a': 0.05, 'e': 0.3640517711246689}",25,11,-28.330429978956964,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
660,False,"{'a': 0.05, 'e': 0.3623577544766736}",20,8,15.19421860258281,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.05, 'e': 0.3606625399521338}",20,0,-3.3338481191585068,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
662,False,"{'a': 0.05, 'e': 0.35896613315506326}",30,15,2.5803091836512833,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
663,False,"{'a': 0.05, 'e': 0.3572685396934165}",25,19,10.624329381610096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.05, 'e': 0.35556976517907146}",30,21,13.77004042642413,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.05, 'e': 0.35386981522780997}",25,15,-4.550246685504346,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
666,False,"{'a': 0.05, 'e': 0.3521686954592996}",20,8,-4.916067856495762,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
667,False,"{'a': 0.05, 'e': 0.3504664114970755}",25,17,14.180151822449886,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.05, 'e': 0.3487629689685208}",25,19,10.823530093841331,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.05, 'e': 0.34705837350484936}",20,12,-7.254101992749856,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
670,False,"{'a': 0.05, 'e': 0.34535263074108546}",30,9,13.679121648297848,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
671,False,"{'a': 0.05, 'e': 0.34364574631604705}",25,0,-48.10762150949864,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
672,False,"{'a': 0.05, 'e': 0.3419377258723253}",20,0,22.56471868734368,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
673,False,"{'a': 0.05, 'e': 0.34022857505626763}",25,18,12.922382492414846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.05, 'e': 0.33851829951795764}",30,18,-4.72564521697171,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
675,False,"{'a': 0.05, 'e': 0.33680690491119697}",20,13,11.3982634342504,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.05, 'e': 0.33509439689348736}",20,12,6.850427582117357,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.05, 'e': 0.33338078112601033}",25,0,-19.409118733934054,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
678,False,"{'a': 0.05, 'e': 0.33166606327361026}",20,15,2.9355456392227097,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.05, 'e': 0.3299502490047739}",20,7,-38.34806867526512,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
680,False,"{'a': 0.05, 'e': 0.3282333439916134}",30,0,-18.888728491933897,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
681,False,"{'a': 0.05, 'e': 0.32651535390984593}",20,5,10.282660710545667,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
682,False,"{'a': 0.05, 'e': 0.32479628443877623}",25,8,-35.14471211414767,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
683,False,"{'a': 0.05, 'e': 0.32307614126127693}",25,18,-9.530920343548884,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
684,False,"{'a': 0.05, 'e': 0.32135493006377}",20,2,12.392631085343565,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
685,False,"{'a': 0.05, 'e': 0.31963265653620854}",25,0,0.5008848516465103,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
686,False,"{'a': 0.05, 'e': 0.3179093263720569}",25,0,-85.40697410026755,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
687,False,"{'a': 0.05, 'e': 0.31618494526827307}",20,0,-1.701069765323972,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
688,False,"{'a': 0.05, 'e': 0.3144595189252885}",20,10,-5.10994414261158,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
689,False,"{'a': 0.05, 'e': 0.3127330530469907}",25,17,-16.720852739723597,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
690,False,"{'a': 0.05, 'e': 0.31100555334070307}",25,0,-47.787909313366136,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
691,False,"{'a': 0.05, 'e': 0.30927702551716707}",25,8,-0.2629703221418431,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
692,False,"{'a': 0.05, 'e': 0.3075474752905224}",20,3,25.4484597550023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.05, 'e': 0.30581690837828934}",35,16,8.62923272718116,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
694,False,"{'a': 0.05, 'e': 0.30408533050134834}",35,21,-29.577340010957304,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
695,False,"{'a': 0.05, 'e': 0.3023527473839221}",25,0,-18.80532768658863,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
696,False,"{'a': 0.05, 'e': 0.30061916475355693}",30,19,8.382910488909348,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
697,False,"{'a': 0.05, 'e': 0.2988845883411025}",25,16,7.252859346261006,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.05, 'e': 0.29714902388069453}",20,15,8.675316615366947,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.05, 'e': 0.29541247710973423}",25,13,10.00066633829268,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
700,False,"{'a': 0.05, 'e': 0.29367495376887087}",20,8,-18.948226498310596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
701,False,"{'a': 0.05, 'e': 0.29193645960198134}",20,0,-10.660352854398072,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
702,False,"{'a': 0.05, 'e': 0.29019700035615253}",25,9,19.373913282089543,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.05, 'e': 0.2884565817816613}",20,3,-1.2098410989414379,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
704,False,"{'a': 0.05, 'e': 0.2867152096319555}",30,8,29.254282759792947,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.05, 'e': 0.2849728896636362}",20,6,22.04916106139012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.05, 'e': 0.2832296276364369}",25,1,-1.297949216040898,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
